Id,SurfaceArea,NumRooms,Type,Address,Description,Rent,Bookmark,Link
5288317.0,33.0,,flat,"Avenue Marc-Dufour 46, 1007 Lausanne, VD","Quartier calme, 1 pièce de 33 m2 rénové",1160.0,New,/en/d/flat-rent-lausanne/5288317?s=2&t=1&l=2023&ct=615&ci=29&pn=2
5271558.0,30.0,1.5,flat,"Rue des Crêtes 25, 1018 Lausanne, VD",Agréable petit appartement à proximité du centre de Lausanne,1180.0,,/en/d/flat-rent-lausanne/5271558?s=2&t=1&l=2023&ct=615&ci=30&pn=2
5198531.0,129.0,,flat,"1010 Lausanne, VD",Appartements de 1 à 4.5 pièces avec vues panoramiques,1190.0,,/en/d/flat-rent-lausanne/5198531?s=2&t=1&l=2023&ct=615&ci=31&pn=2
5287728.0,51.0,2.0,flat,"Avenue de Collonges 9, 1004 Lausanne, VD",Idéalement situé,1190.0,New,/en/d/flat-rent-lausanne/5287728?s=2&t=1&l=2023&ct=615&ci=32&pn=2
5279334.0,50.0,2.0,flat,"Av. Recordon 16, 1004 Lausanne, VD","Appartement, 2.0 pièce(s)",1210.0,,"/en/d/flat-rent-s)»lausanne/5279334?s=2&t=1&l=2023&ct=615&ci=33&pn=2## «Appartement, 2.0 pièce(s"
5276306.0,,2.5,flat,"Chemin du Boisy 50, 1004 Lausanne, VD","Lausanne, Boisy 50",1219.0,,/en/d/flat-rent-lausanne/5276306?s=2&t=1&l=2023&ct=615&ci=34&pn=2
4742202.0,24.0,,studio,"Avenue de Morges 72bis, 1004 Lausanne, VD",Studio neuf au 4ème étage,1230.0,,/en/d/studio-rent-lausanne/4742202?s=2&t=1&l=2023&ct=615&ci=35&pn=2
5270355.0,30.0,,flat,"Av. de Morges 7, 1004 Lausanne, VD","Au coeur du centre ville, très beau studio bien aménagé",1240.0,,/en/d/flat-rent-lausanne/5270355?s=2&t=1&l=2023&ct=615&ci=36&pn=2
4742205.0,34.0,,studio,"Avenue de Morges 72bis, 1004 Lausanne, VD",Studio au 4ème étage,1280.0,New,/en/d/studio-rent-lausanne/4742205?s=2&t=1&l=2023&ct=615&ci=37&pn=2
5145387.0,40.0,,flat,"Rue Saint-Pierre 4, 1003 Lausanne, VD",Au coeur de Lausanne,1290.0,,/en/d/flat-rent-lausanne/5145387?s=2&t=1&l=2023&ct=615&ci=38&pn=2
5255287.0,30.0,1.5,flat,"route de Cossonay, 1004 Lausanne, VD",Magnifique Studio neuf au coeur de Prilly centre.,1300.0,,/en/d/flat-rent-lausanne/5255287?s=2&t=1&l=2023&ct=615&ci=39&pn=2
5273432.0,47.0,2.5,flat,"Ch. de la Cassinette 1, 1018 Lausanne, VD","Appartement, 2.5 pièce(s)",1300.0,,"/en/d/flat-rent-s)»lausanne/5273432?s=2&t=1&l=2023&ct=615&ci=40&pn=2## «Appartement, 2.5 pièce(s"
5280779.0,55.0,2.0,flat,"Plaines-du-Loup 44, 1018 Lausanne, VD","Appartement, 2.0 pièce(s)",1300.0,,"/en/d/flat-rent-s)»lausanne/5280779?s=2&t=1&l=2023&ct=615&ci=41&pn=2## «Appartement, 2.0 pièce(s"
5279571.0,46.0,2.0,flat,"Rue de la Pontaise 41, 1018 Lausanne, VD",Joli logement proche de toutes commodités,1310.0,,/en/d/flat-rent-lausanne/5279571?s=2&t=1&l=2023&ct=615&ci=42&pn=2
5286623.0,40.0,2.5,flat,"Avenue d'Echallens 118, 1004 Lausanne, VD",Très joli appartement de 2.5 pièces au rez-de-chaussée,1310.0,New,/en/d/flat-rent-lausanne/5286623?s=2&t=1&l=2023&ct=615&ci=43&pn=2
4865311.0,45.0,,flat,"Avenue Dapples 22, 1006 Lausanne, VD","Quartier sous-gare, studio de 45m2 avec cachet",1340.0,,/en/d/flat-rent-lausanne/4865311?s=2&t=1&l=2023&ct=615&ci=44&pn=2
5073360.0,,1.5,furnished-residential-property,"Avenue de Menthon 16, 1005 Lausanne, VD",Avenue de Menthon 16 à 1005 Lausanne,1350.0,,/en/d/furnished-residential-property-rent-lausanne/5073360?s=2&t=1&l=2023&ct=615&ci=45&pn=2
5279335.0,67.0,3.0,flat,"Rte Aloys-Fauquez 9, 1018 Lausanne, VD","Appartement, 3.0 pièce(s)",1350.0,,"/en/d/flat-rent-s)»lausanne/5279335?s=2&t=1&l=2023&ct=615&ci=46&pn=2## «Appartement, 3.0 pièce(s"
5282484.0,52.0,2.0,furnished-residential-property,"Rue Marterey 28, 1005 Lausanne, VD",Joli appartement meublé en sous-location avec balcon,1350.0,,/en/d/furnished-residential-property-rent-lausanne/5282484?s=2&t=1&l=2023&ct=615&ci=47&pn=2
5286102.0,52.0,2.5,flat,"Ch. des Paleyres 14, 1006 Lausanne, VD","Appartement, 2.5 pièce(s)",1355.0,New,"/en/d/flat-rent-s)»lausanne/5286102?s=2&t=1&l=2023&ct=615&ci=48&pn=2## «Appartement, 2.5 pièce(s"
5281117.0,41.0,2.0,flat,"Chemin de Mémise 8, 1018 Lausanne, VD",Appartement de 2 pièces,1360.0,,/en/d/flat-rent-lausanne/5281117?s=2&t=1&l=2023&ct=615&ci=49&pn=3
5282054.0,52.0,2.5,flat,"Ch. de Pierrefleur 41, 1004 Lausanne, VD",Bel appartement à louer dans un quartier calme et verdoyant,1365.0,,/en/d/flat-rent-lausanne/5282054?s=2&t=1&l=2023&ct=615&ci=50&pn=3
4911690.0,43.0,2.0,flat,"Chemin de Montmeillan 19-21, 1005 Lausanne, VD",Appartement cherche single ou jeune couple !,1370.0,,/en/d/flat-rent-lausanne/4911690?s=2&t=1&l=2023&ct=615&ci=51&pn=3
5252335.0,45.0,1.5,flat,"Rue de l' Ale 31, 1003 Lausanne, VD",Appartement de 1.5 pièces,1375.0,,/en/d/flat-rent-lausanne/5252335?s=2&t=1&l=2023&ct=615&ci=52&pn=3
5188207.0,45.0,2.0,flat,"9 chemin de Vulliette, 1000 Lausanne, VD",2.5 pièces à Vers-chez-les-Blanc,1380.0,,/en/d/flat-rent-lausanne/5188207?s=2&t=1&l=2023&ct=615&ci=53&pn=3
5175250.0,43.0,2.0,flat,"Ch. de Renens 58 B, 1004 Lausanne, VD",Appartement proche gare Malley,1390.0,,/en/d/flat-rent-lausanne/5175250?s=2&t=1&l=2023&ct=615&ci=54&pn=3
5286104.0,53.0,2.5,flat,"Av. Vinet 9, 1004 Lausanne, VD","Appartement, 2.5 pièce(s)",1390.0,New,"/en/d/flat-rent-s)»lausanne/5286104?s=2&t=1&l=2023&ct=615&ci=55&pn=3## «Appartement, 2.5 pièce(s"
5265498.0,41.0,2.0,flat,"Chemin de Mémise 8, 1018 Lausanne, VD",Magnifique appartement au centre-ville de Lausanne,1400.0,,/en/d/flat-rent-lausanne/5265498?s=2&t=1&l=2023&ct=615&ci=56&pn=3
5273647.0,53.0,2.0,flat,"Isabelle de Montolieu 119, 1010 Lausanne, VD",Proche de toutes commodités !,1400.0,,/en/d/flat-rent-lausanne/5273647?s=2&t=1&l=2023&ct=615&ci=57&pn=3
5212855.0,47.0,,flat,"Rue de la Tour 5, 1004 Lausanne, VD",Charmant appartement à louer au coeur de Lausanne,1420.0,,/en/d/flat-rent-lausanne/5212855?s=2&t=1&l=2023&ct=615&ci=58&pn=3
5276797.0,42.0,2.0,flat,"Avenue de France 18A, 1004 Lausanne, VD",Magnifique 2 pièces au coeur de Lausanne !,1420.0,,/en/d/flat-rent-lausanne/5276797?s=2&t=1&l=2023&ct=615&ci=59&pn=3
5284128.0,49.0,2.5,flat,"Chemin de Champrilly 19, 1004 Lausanne, VD",Très joli logement dans quartier calme,1440.0,,/en/d/flat-rent-lausanne/5284128?s=2&t=1&l=2023&ct=615&ci=60&pn=3
5267589.0,44.0,2.0,duplex-maisonette,"Chemin de la Vulliette 12C, 1000 Lausanne, VD",2 pièces en duplex de 44m2 habitables !,1450.0,,/en/d/duplex-maisonette-rent-lausanne/5267589?s=2&t=1&l=2023&ct=615&ci=61&pn=3
5267676.0,47.0,2.0,flat,"Rue du Tunnel 18, 1005 Lausanne, VD","Appartement, 2.0 pièce(s)",1450.0,,"/en/d/flat-rent-s)»lausanne/5267676?s=2&t=1&l=2023&ct=615&ci=62&pn=3## «Appartement, 2.0 pièce(s"
5268607.0,45.0,2.0,flat,"Chemin de Bochardon 7, 1012 Lausanne, VD",Logement lumineux,1450.0,,/en/d/flat-rent-lausanne/5268607?s=2&t=1&l=2023&ct=615&ci=63&pn=3
5274337.0,48.0,2.5,flat,"Rue du Tunnel 18, 1005 Lausanne, VD","Appartement, 2.5 pièce(s)",1450.0,,"/en/d/flat-rent-s)»lausanne/5274337?s=2&t=1&l=2023&ct=615&ci=64&pn=3## «Appartement, 2.5 pièce(s"
5205092.0,68.0,3.0,flat,"Route d' Aloys-Fauquez 56, 1018 Lausanne, VD",Appartement de 3 pièces au 2ème étage,1460.0,,/en/d/flat-rent-lausanne/5205092?s=2&t=1&l=2023&ct=615&ci=65&pn=3
4833436.0,34.0,1.5,studio,"Rue de la Feuillère 23, 1010 Lausanne, VD",Joli studio au 2ème étage d'un immeuble récent,1490.0,,/en/d/studio-rent-lausanne/4833436?s=2&t=1&l=2023&ct=615&ci=66&pn=3
5194041.0,43.0,2.5,flat,"Av. Recordon 21, 1004 Lausanne, VD",Appartement de 2 pièces complétment rénové d'environ 43 m2,1490.0,,/en/d/flat-rent-lausanne/5194041?s=2&t=1&l=2023&ct=615&ci=67&pn=3
5196419.0,61.0,2.5,flat,"Chemin du Martinet 28, 1007 Lausanne, VD",A Malley Joli appartement avec balcon à louer,1490.0,,/en/d/flat-rent-lausanne/5196419?s=2&t=1&l=2023&ct=615&ci=68&pn=3
